Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LSK,Volume BTC,,,,,,
1591610400,2020-06-08 10-AM,LSKBTC,7558.578987,7558.578987,7558.578987,7558.578987,13.77,0.001822,,,,,,
1591606800,2020-06-08 09-AM,LSKBTC,7501.875469,7501.875469,7598.784195,7558.578987,33.52,0.004425,,,,,,
1591603200,2020-06-08 08-AM,LSKBTC,7530.120482,7485.02994,7541.47813,7501.875469,51.3,0.006835,,,,,,
1591599600,2020-06-08 07-AM,LSKBTC,7485.02994,7429.420505,7530.120482,7530.120482,15.67,0.002089,,,,,,
1591596000,2020-06-08 06-AM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591592400,2020-06-08 05-AM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591588800,2020-06-08 04-AM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591585200,2020-06-08 03-AM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,3.148,0.0004206,,,,,,
1591581600,2020-06-08 02-AM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591578000,2020-06-08 01-AM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591574400,2020-06-08 12-AM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591570800,2020-06-07 11-PM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591567200,2020-06-07 10-PM,LSKBTC,7485.02994,7485.02994,7485.02994,7485.02994,0,0,,,,,,
1591563600,2020-06-07 09-PM,LSKBTC,7434.944238,7434.944238,7485.02994,7485.02994,4.548,0.0006078,,,,,,
1591560000,2020-06-07 08-PM,LSKBTC,7434.944238,7434.944238,7434.944238,7434.944238,0,0,,,,,,
1591556400,2020-06-07 07-PM,LSKBTC,7380.073801,7380.073801,7434.944238,7434.944238,5.24,0.000706,,,,,,
