Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC,,,,,,
1601737200,2020-10-03 03-PM,XRPBTC,45065.34,45065.34,45187.53,45187.53,50914.36,1.128,,,,,,
1601733600,2020-10-03 02-PM,XRPBTC,45126.35,45045.05,45126.35,45065.34,3511.11,0.07789,,,,,,
1601730000,2020-10-03 01-PM,XRPBTC,45126.35,45106.00,45167.12,45126.35,42139.15,0.9334,,,,,,
1601726400,2020-10-03 12-PM,XRPBTC,45024.76,44984.26,45126.35,45126.35,62829.75,1.395,,,,,,
1601722800,2020-10-03 11-AM,XRPBTC,44964.03,44943.82,45024.76,45024.76,23620.57,0.525,,,,,,
1601719200,2020-10-03 10-AM,XRPBTC,45045.05,44964.03,45065.34,44964.03,10611.8,0.2356,,,,,,
1601715600,2020-10-03 09-AM,XRPBTC,45085.66,45045.05,45106.00,45045.05,61435.39,1.363,,,,,,
1601712000,2020-10-03 08-AM,XRPBTC,45085.66,45065.34,45167.12,45085.66,50584.17,1.121,,,,,,
1601708400,2020-10-03 07-AM,XRPBTC,45167.12,45065.34,45187.53,45085.66,30965.93,0.6861,,,,,,
1601704800,2020-10-03 06-AM,XRPBTC,45065.34,45024.76,45167.12,45167.12,45717.18,1.013,,,,,,
1601701200,2020-10-03 05-AM,XRPBTC,45004.50,44964.03,45065.34,45065.34,829.29,0.01843,,,,,,
1601697600,2020-10-03 04-AM,XRPBTC,45085.66,45004.50,45085.66,45004.50,22228.38,0.4935,,,,,,
1601694000,2020-10-03 03-AM,XRPBTC,45207.96,45065.34,45228.40,45085.66,12467.61,0.2763,,,,,,
1601690400,2020-10-03 02-AM,XRPBTC,45146.73,45085.66,45207.96,45207.96,24104.73,0.5342,,,,,,
1601686800,2020-10-03 01-AM,XRPBTC,45187.53,45106.00,45207.96,45146.73,21514.14,0.4764,,,,,,
1601683200,2020-10-03 12-AM,XRPBTC,45167.12,45045.05,45207.96,45187.53,117590.58,2.604,,,,,,
1601679600,2020-10-02 11-PM,XRPBTC,45187.53,45167.12,45269.35,45167.12,112393.39,2.487,,,,,,
1601676000,2020-10-02 10-PM,XRPBTC,45248.87,45167.12,45310.38,45187.53,89925.86,1.989,,,,,,
1601672400,2020-10-02 09-PM,XRPBTC,45269.35,45126.35,45269.35,45248.87,61204.93,1.355,,,,,,
1601668800,2020-10-02 08-PM,XRPBTC,45351.47,45228.40,45372.05,45269.35,36682.93,0.8095,,,,,,
1601665200,2020-10-02 07-PM,XRPBTC,45392.65,45330.92,45433.89,45351.47,111159.47,2.45,,,,,,
1601661600,2020-10-02 06-PM,XRPBTC,45372.05,45310.38,45454.55,45392.65,96115.48,2.117,,,,,,
1601658000,2020-10-02 05-PM,XRPBTC,45289.86,45269.35,45372.05,45372.05,20194.21,0.4457,,,,,,
1601654400,2020-10-02 04-PM,XRPBTC,45372.05,45269.35,45454.55,45289.86,44062.81,0.9707,,,,,,
1601650800,2020-10-02 03-PM,XRPBTC,45310.38,45269.35,45372.05,45372.05,59637.39,1.316,,,,,,
1601647200,2020-10-02 02-PM,XRPBTC,45413.26,45167.12,45413.26,45310.38,139284.39,3.079,,,,,,
1601643600,2020-10-02 01-PM,XRPBTC,45495.91,45289.86,45578.85,45413.26,24375,0.537,,,,,,
1601640000,2020-10-02 12-PM,XRPBTC,45433.89,45433.89,45578.85,45495.91,73221.5,1.608,,,,,,
1601636400,2020-10-02 11-AM,XRPBTC,45310.38,45289.86,45495.91,45433.89,45999.48,1.012,,,,,,
1601632800,2020-10-02 10-AM,XRPBTC,45187.53,45167.12,45413.26,45310.38,73352.85,1.618,,,,,,
1601629200,2020-10-02 09-AM,XRPBTC,45146.73,45045.05,45269.35,45187.53,38275.75,0.849,,,,,,
1601625600,2020-10-02 08-AM,XRPBTC,44903.46,44863.17,45187.53,45146.73,105141.01,2.334,,,,,,
1601622000,2020-10-02 07-AM,XRPBTC,45004.50,44883.30,45045.05,44903.46,96926.25,2.155,,,,,,
1601618400,2020-10-02 06-AM,XRPBTC,44903.46,44883.30,45045.05,45004.50,194108.19,4.318,,,,,,
1601614800,2020-10-02 05-AM,XRPBTC,44603.03,44523.60,44923.63,44903.46,92536.7,2.072,,,,,,
1601611200,2020-10-02 04-AM,XRPBTC,44622.94,44503.78,44662.80,44603.03,90419.94,2.028,,,,,,
1601607600,2020-10-02 03-AM,XRPBTC,44642.86,44563.28,44682.75,44622.94,5018.61,0.1124,,,,,,
1601604000,2020-10-02 02-AM,XRPBTC,44622.94,44563.28,44662.80,44642.86,21028.71,0.4715,,,,,,
1601600400,2020-10-02 01-AM,XRPBTC,44742.73,44523.60,44742.73,44622.94,15866.86,0.3558,,,,,,
1601596800,2020-10-02 12-AM,XRPBTC,44563.28,44563.28,44762.76,44742.73,36891.53,0.8253,,,,,,
1601593200,2020-10-01 11-PM,XRPBTC,44563.28,44523.60,44622.94,44563.28,51870.98,1.164,,,,,,
1601589600,2020-10-01 10-PM,XRPBTC,44682.75,44523.60,44742.73,44563.28,103050.02,2.311,,,,,,
1601586000,2020-10-01 09-PM,XRPBTC,44742.73,44603.03,44742.73,44682.75,21370.96,0.4784,,,,,,
1601582400,2020-10-01 08-PM,XRPBTC,44682.75,44603.03,44742.73,44742.73,8981.91,0.2011,,,,,,
1601578800,2020-10-01 07-PM,XRPBTC,44722.72,44682.75,44822.95,44682.75,32515.43,0.7267,,,,,,
1601575200,2020-10-01 06-PM,XRPBTC,44642.86,44583.15,44742.73,44722.72,91590.06,2.05,,,,,,
1601571600,2020-10-01 05-PM,XRPBTC,44642.86,44543.43,44682.75,44642.86,90963.64,2.04,,,,,,
1601568000,2020-10-01 04-PM,XRPBTC,44762.76,44563.28,44903.46,44642.86,334046.44,7.466,,,,,,
1601564400,2020-10-01 03-PM,XRPBTC,44802.87,44742.73,44903.46,44762.76,236177.2,5.27,,,,,,
1601560800,2020-10-01 02-PM,XRPBTC,44802.87,44702.73,44822.95,44802.87,92831.95,2.074,,,,,,
1601557200,2020-10-01 01-PM,XRPBTC,44682.75,44682.75,44802.87,44802.87,39283.74,0.8776,,,,,,
1601553600,2020-10-01 12-PM,XRPBTC,44662.80,44622.94,44702.73,44682.75,87415.63,1.957,,,,,,
1601550000,2020-10-01 11-AM,XRPBTC,44682.75,44603.03,44702.73,44662.80,31363.55,0.7022,,,,,,
1601546400,2020-10-01 10-AM,XRPBTC,44682.75,44603.03,44722.72,44682.75,64933.83,1.453,,,,,,
1601542800,2020-10-01 09-AM,XRPBTC,44722.72,44622.94,44722.72,44682.75,154967.85,3.468,,,,,,
1601539200,2020-10-01 08-AM,XRPBTC,44762.76,44702.73,44903.46,44722.72,785434.58,17.52,,,,,,
1601535600,2020-10-01 07-AM,XRPBTC,44642.86,44583.15,44782.80,44762.76,34681.87,0.776,,,,,,
1601532000,2020-10-01 06-AM,XRPBTC,44742.73,44622.94,44762.76,44642.86,20844.21,0.4666,,,,,,
1601528400,2020-10-01 05-AM,XRPBTC,44722.72,44682.75,44802.87,44742.73,46008.15,1.028,,,,,,
1601524800,2020-10-01 04-AM,XRPBTC,44642.86,44622.94,44762.76,44722.72,119457.12,2.672,,,,,,
1601521200,2020-10-01 03-AM,XRPBTC,44622.94,44622.94,44682.75,44642.86,17550.37,0.3931,,,,,,
1601517600,2020-10-01 02-AM,XRPBTC,44722.72,44603.03,44722.72,44622.94,74334.95,1.665,,,,,,
1601514000,2020-10-01 01-AM,XRPBTC,44622.94,44583.15,44722.72,44722.72,18179.01,0.4071,,,,,,
1601510400,2020-10-01 12-AM,XRPBTC,44603.03,44583.15,44682.75,44622.94,186065.64,4.168,,,,,,
1601506800,2020-09-30 11-PM,XRPBTC,44642.86,44444.44,44702.73,44603.03,95744.26,2.146,,,,,,
1601503200,2020-09-30 10-PM,XRPBTC,44722.72,44642.86,44782.80,44642.86,55118.48,1.233,,,,,,
1601499600,2020-09-30 09-PM,XRPBTC,44802.87,44682.75,44822.95,44722.72,19380.89,0.4328,,,,,,
